文档ID,簇编号,原文片段（分词行）
1,0,科技 MP3 白领丽人 索爱 SA 上市 插式 MP3 兼顾 工作 娱乐 广受 商务人士 白领丽人 喜爱 市面上 插式 MP3 国产 线条 粗狂 做工 粗糙 待...
2,0,科技 光学 变焦镜头 三星 WB1000 外观 三星 WB1000 整体 轻薄 3.0 英寸 具有 万色 屏幕 有着 不错 显示 效果 机身 尺寸 mm 重量 ...
3,1,财经 市场 能否 延续 强势 华安 基金 关注 板块 晨报 李锐 行情 超过 市场 预期 延续 强势 华安 基金 公司 发布 策略 报告 指出 市场 有望 延续...
4,4,游戏 启示录 初章 图文 攻略 一序 上帝 创始 创造 七个 天使 称为 创世 七位 天使 灵质 总和 等于 上帝 第一件 作品 路西 灵质 最强 相当于 上帝...
5,3,体育 奥尼尔 看着 五冠 破灭 终场哨 响起 詹姆斯 德维恩 韦德 相拥 热火 主场 战胜 波士顿 总比分 淘汰 对手 晋级 决赛 主场 一片 欢腾 沙奎尔 奥...
6,3,体育 教父 不配 总冠军 夺冠 补充 一种 韦斯特 湖人队 教父 做客 著名 节目 湖人队 角度 谈及 湖人队 小牛队 横扫 看法 访谈 摘译 吃惊 韦斯特 吃...
7,1,财经 季报 业绩 隐忧 基金 重仓股 集体 熄火 巩万龙 发自 深圳 市场 A股 显现 众生相 小盘 题材股 严重 分化 基金 重仓股 整体 煤炭 有色 地产 ...
8,5,娱乐 首创 接吻 纪录 中国 版本 一刀 电影 量子 危机 中国 内地 抢先 公映 作品 导演 风筝 马克 福斯特 执导 一集 大战 皇家 赌场 第六代 詹姆斯...
9,0,科技 单反相机 首选 宾得 K x 长沙 热卖 C168 中关村 湖南 宾得 机器 弱光 对焦 能力 困扰 众多 P 用户 宾得 意识 推出 Kx 换用 传感器...
10,4,游戏 宝贝 梦网 怪物 攻城 刷装备 装备 护身符 一套 装备 走遍 宝贝 国度 玩家 渴望 黄装 装备 错过 怪物 攻城 装备 公式 几率 梦寐 黄装 怪物 ...
11,4,游戏 侠义 OL 买金 卖金 体验 交易 游戏 游戏币 发展 犹如 口袋 人民币 购买 件物品 侠义 途径 游戏币 一点 核心 一点 到达 肯定 级别 条件 副...
12,4,游戏 手机 网游 时空 全民 植树 极品 装备 三月 草长鹰 飞间 寒意 褪尽 绿色 气息 走来 春风 枝头 嫩芽 小草 时空 OL 大地 植树节 来临 时空 ...
13,1,财经 ETF 抢前 别冶 发自 北京 据悉 上证所 发展 ETF 工作 重点 上证所 举行 年度 新闻宣传 座谈会 上证所 理事长 耿亮 明确指出 产品 创新 ...
14,1,财经 华商 盛世 基金 收益 超过 王文清 截至 华商 盛世 成长 基金 收益率 40.11 跻身 晨星 三个 回报 晨星 数据 统计 截至 上周五 股票 配置...
15,4,游戏 豪侠 结拜 系统 受热捧 上线 豪侠 结拜 系统 推出 受到 众多 玩家 猛烈 追捧 梁山泊 忠义堂 引领 车水马龙 组队 经验 好友 忠义堂 结拜 人物...
16,3,体育 VS 队友 挑毛病 停摆 愿去 CBA 打球 北京 媒体 势利 第一场 替补 出场 拿下 詹姆斯 第二场 出手 得分 人影儿 不着 热火 巨头 配角 本赛...
17,1,财经 银河 基金 国金 证券 投研 能力 五星 评级 潘琦 国金 证券 发布 评级 报告 显示 银河 基金 荣获 投研 管理 能力 公司 综合 基本 实力 评价...
18,3,体育 詹韦 不惧 鲨鱼 绿军 添翼 皇帝 不会 计划 北京 热火 对决 鲨鱼 奥尼尔 两位 队友 对决 谈及 奥尼尔 不会 复出 主帅 答案 参加 系列赛 信心...
19,0,科技 H .264 编码 松下 GF1 套机 售价 松下 GF1 继承 来自 松下 诸多 智慧 功能 包含 智能 场景 模式 脸部 检测 亮部 阴影 自动 调整...
20,0,科技 全高清 数码 摄像机 松下 HS20 作者 陈亮 北京 行情 松下 HS20 英寸 MOS 感光 元件 全高清 数码 摄像机 拍摄 全高清 分辨率 格式 ...
21,5,游戏 手机游戏 阿凡达 代理权 手机游戏 阿凡达 电影 正版 中国 代理权 引进 游戏 文化部 审批 文化部 网络游戏 内容 审查 申报 查询 系统 显示 文化...
22,3,体育 双塔奇谋 阿联 雷霆 哆嗦 雷霆 系列赛 第三场 双方 出奇 收到 奇效 比赛 灰熊 变招 一招 效果 不错 比赛 灰熊 落后 下场 休息 上场 伊朗 中...
23,1,财经 股票 仓位 牛市 水平 投资 策略 新快报 吴谭 业绩 报告 证实 反弹 行情 基金 扮演 搭车 基金 未能 抓住 涨幅 最大 股票 增持 股票 策略 防...
24,0,科技 千万 超广角 松下 ZS3 观点 松下 ZS3 兼顾 广角 长焦端 成像 能力 焦距 范围 mm 像素 英寸 液晶显示 屏幕 像是 效果 出众 具备 智能...
25,1,财经 博时基金 举办 高端 论坛 安仲文 黄金 基金业 发展 步入 年头 投资者 教育 公司 重视 信心 中国 价值 博时基金 高端 论坛 博时基金 大学 内容...
26,0,科技 发挥 个人 创意 日本 绿屋 DIY 耳塞 GLITTER 日本 GREEN HOUSE 旗下 数码产品 一贯 新颖 时尚 设计 著称 推出 更换 面板 ...
27,5,娱乐 迪士尼 公主 青蛙 剧照 设计图 曝光 娱乐 迪士尼 动画 工作室 Walt Disney Animation Studios 开通 官方网站 曝光 动画...
28,0,科技 原厂 mm 镜头 宾得 防抖 K 套机 降价 作者 中关村 陈亮 中关村 数码相机 行情 宾得 K 像素 成像 能力 机身 防抖 功能 P 高清 摄像 英...
29,5,娱乐 木乃伊 中文 海报 出炉 主角 有望 来华 本报讯 杨林 好莱坞 大片 无敌 浩克 又名 神奇 绿巨人 全面 上映 一部 大片 确定 上映 木乃伊 李连杰...
30,1,财经 信货 缩短 理财 周报 王小静 文泰 收益 减持 品种 业绩 增长 贡献 部分 利润 股市 转暖 创业板 开闸 收益率 低位 徘徊 因素 货币 市场 基金...
31,3,体育 波什 媒体 冷遇 龙王 落枕 北京 波士顿 篮板 波什 客场 第一战 软蛋 热火 主帅 波尔 弟子 理由 龙王 脖子 部位 神经 受压 症状 斯帅 时刻 ...
32,1,财经 型基金 密集 分红 基金 新华社 月份 反弹 行情 惠及 基金 部分 业绩 偏股 型基金 分红 相投 统计 截至 实施 分红 偏股 型基金 不含 QDII...
33,0,科技 热门 画幅 佳能 DMarkII 单机 降价 中关村 数码影像 行情 佳能 D Mark II 有效 像素 画幅 单反相机 拍摄 分辨率 全高清 动态 影...
34,4,游戏 手机 网游 封神 ol 个性 宝石 经典 集合 宝石 极品 武器 一种 增值 优势 封神 ol 宝石 属性 强劲 属性 宝石 称霸 关键所在 不同 装备 ...
35,2,体育 湖人 全能王 禅师 对骂 长枪 炮导 反击 北京 半决赛 继续 洛杉矶 湖人 坐镇 主场 再战 小牛 系列赛 首战 冷门 湖人 领先 时刻 小牛 翻盘 上...
36,1,财经 基金 王艳伟 首批 新疆 安徽 认购 基金 新品种 兴趣 发行 收益率 接近 国债 流动性 肯定 国债 吸引力 小于 国债 深圳 一位 货币 市场 基金 ...
37,1,财经 世界 顶尖 基金 经理 百亿美元 英国 卫报 金融 海啸 横扫 全球 全球 顶级 对冲 基金 经理 亿美元 顶尖 亿美元 收入 援引 对冲 基金 行业 杂...
38,0,科技 GIZMON 推出 饼干 专用 鱼眼 转接 鱼眼 镜头 有着 独特 视觉 魅力 受到 很多 摄影 好者 欢迎 关注 MICRO 系统 专用 鱼眼 镜头 系...
39,4,游戏 仙剑 奇侠传 忘情 唯美 古典 场景 玩家 曝光 经典 场景 场景 了美 相信 看到 肯定 ETGAME 恒信 美术设计 古韵 漂亮 看似 美术设计 几易...
40,0,科技 口袋 触屏 高清 拍摄 索尼 T900 山东 IT 索尼 T900 蛋网 赠送 G 记忆棒 价值 CaseLogic 卡片机 专用 售价 索尼 T900 ...
41,3,体育 奇才 弹簧 球场 殊荣 扣篮 赛失 冠军 吉尼斯 北京 NBC 华盛顿 NBA 扣篮 大赛 很多 球队 贾维 麦基 遗憾 绝不比 冠军 布雷克 格里芬 冠...
42,3,体育 火箭 帅位 竞争 阶段 专家 一周 内定 新帅 人选 北京 美国 体育 电台 采访 休斯敦 纪事报 专栏 理查德 贾斯 后者 透露 火箭 主帅 人选 有望...
43,1,财经 华夏 基金 潜伏 再赌 收购 早报 理财 周报 研究员 梅聪 集团 创出 新高 回顾 市场 低点 8.03 一路 上涨 区间 最大 涨幅 接近 展开 宽幅...
44,4,游戏 女儿国 OL 实力 女王 宝宝 访谈 访谈 主题 女儿国 OL 闯荡 结识 朋友 有着 姐妹 兄弟 宝宝 游戏 经历 玩家 介绍 宝宝 可爱 女生 综合 ...
45,0,科技 全金属 机身 三星 YP P3 作者 毛晓曼 三星 YP P3 支持 蓝牙 传输 连接 DNSe3 .0 音效 触摸 回馈 性功能 市场 售价 GB 购买...
46,4,游戏 D 网游 赤壁 OL 诸侯 大战 开启 外戚 宦官 专权 皇权 衰微 王朝 镇压 黄巾 过程 形成 豪族 军事 势力 拥兵 割据 一方 军阀 争夺 地盘 ...
47,4,游戏 文明 II RMB 玩家 玩转 乾坤 文明 II 大家 走过 一段 感谢 玩家 文明 II 一路 支持 厚爱 希望 大家 支持 文明 II 大家 看看 R...
48,3,体育 灰熊神 雷霆 犯晕 输球 系列赛 北京 主场 完成 击退 雷霆 总比分 领先 拿下 篮板 康利 马克 加索尔 篮板 替补 出场 OJ 梅奥 拉塞尔 助攻 ...
49,3,体育 数据 趣谈 詹韦 双剑合 雷霆 铁桶阵 死灰 北京 NBA 比赛 比赛 诞生 有趣 数据 德维恩 韦德 詹姆斯 率领 热火 战胜 季后赛 淘汰 绿衫 队友...
50,1,财经 基金 从业者 加仓 基金 早报 肖莉 华夏 嘉实 海富通 基金 公司 披露 年报 WIND 资讯 统计 披露 年报 包括 A B C 基金 基金 持有 基...
51,3,体育 热火 双侠 最强 团队 詹韦 北京 热火 主场 击败 总比分 晋级 决赛 詹姆斯 篮板 助攻 韦德 篮板 助攻 抢断 双侠 担任 佛罗里达州 巨星 詹姆斯...
52,5,娱乐 明亮 女主角 敲定 娱乐 台湾 导演 明亮 新片 女主角 敲定 欧洲 名模 Laetitia Casta 担纲 登上 法国 ELLE 杂志 封面 庆祝 主...
53,5,娱乐 七龙珠 粉丝 不满 好莱坞 龙珠 好莱坞 真人版 七龙珠 上映 引来 骂声 中国 内地 北美 半个 多月 抢先 看到 七龙珠 悟空 身为 十八岁 美国 高...
54,5,娱乐 X 战警 金刚 海报 剧照 曝光 娱乐 北京 北美 媒体报道 世纪 福克斯公司 th Century Fox 曝光 X 战警 金刚 X Men Origi...
55,3,体育 热火 主帅 感叹 五个 大山 斯帅 LBJ 完美 表演 北京 开局 完美 完美 热火 厉害 球员 擅长 方式 主场 击败 老大哥 晋级 决赛 整整 五个 ...
56,0,科技 单反相机 索尼 索尼 有效 像素 CCD 配合 BIONZ 影像 处理器 能够 帮助 人们 轻松 美丽 画面 索尼 提供 优先 光圈 优先 程序 自动 全...
57,4,游戏 海贼王 欢庆 五一 打怪 宝藏 五一 海贼王 一起 乐翻天 劳动 人民 大家 一起 战斗 宝箱 高额 奖励 活动 第一 部分 2010.4.29 2010...
58,1,财经 张远忠 解读 稳健 成长 分红 条款 财经 媒体报道 北京 问天 律师 事务所律师 张远忠 状告 稳健 成长 违法 分红 一事 财经 邀请 当事人 北京 ...
59,0,科技 数码相机 富士 J35 富士 J35 搭载 2.3 英寸 有效 像素 CCD 传感器 光学 变焦 施耐德 镜头 支持 双重 防抖 功能 等效 焦距 mm ...
60,3,体育 名嘴 缺乏 危机感 范甘迪 机会 北京 湖人队 做客 一阵 ESPN 电视台 全美 直播 名宿 马克 杰克逊 范甘迪 点评 马克 杰克逊 批评 湖人队 危...
61,0,科技 腾龙 mm F2 .8 XR 广角镜头 样张 镜头 腾龙 公司 旗下 APS C 专业 镜头 SP AF mm F2 .8 XR Di II VC 推出 ...
62,1,财经 易方达 ETF 领跑 指数 基金 证券时报 本报讯 股市 基金 公司 成绩单 出炉 指数 基金 基金 公司业绩 增长 规模 增长 亮点 份额 加权 平均 ...
63,1,财经 基金 缩水 景顺 长城 居首 投资者 常阳 资产 管理 份额 素来 衡量 一家 基金 公司 实力 重要 指标 份额 影响 基金 公司 管理费 高低 基金业...
64,5,娱乐 独家 策划 汤姆 克鲁斯 精华 串串 娱乐 权威 官方 数据 显示 汤姆 克鲁斯 纪念日 一段 漫长 过程 明星 坚持 肯定 大风大浪 世界 变化 汤姆 ...
65,0,科技 G B超 大容量 DV 三星 H106 带票 售价 作者 李金昊 北京 行情 三星 H106 GB 容量 固态 硬盘 存储空间 超过 市场 最大 容量 G...
66,1,财经 华宝 证券 基金 代销 资格 张雪 华宝 证券 了解 公司 证券 投资 基金 代销 业务 资格 全面 基金 销售市场 华宝 兴业 旗下 部分 基金 增加 ...
67,0,科技 搭配 mm 镜头 佳能 D 套机 售价 外观 佳能 D 全黑 外壳 很强 专业 档次 三围 尺寸 128.8 97.5 61.9 mm 看起来 气势 取景...
68,1,财经 基金 年报 A股 定调 机会 风险 吴晓婧 机会 风险 基金 A股 市场 预判 显得 谨慎 乐观 低利率 较低 资产 价格 构成 股票投资 一年 吸引力 ...
69,5,娱乐 演员 饰演 戈登 探长 娱乐 美国 著名演员 Pat Hingle 癌症 享年 电影 电视 戏剧 舞台 丰富 表演 经历 饰演 角色 著名 蝙蝠侠 电影 ...
70,1,财经 诺安 增利 债券 基金 获批 诺安 基金 旗下 第八 开放式 基金 诺安 增利 债券 基金 获批 发行 基金 债券 资产 投资 比例 低于 基金 资产 债...
71,4,游戏 神契 OL 内测 火爆 客户端 发布 神契 online 开启 内测 关注 玩家 聚集 神契 online 游戏 创造 属于 神契 世界 第一个 奇迹 海...
72,0,科技 高清 超薄 卡片 DC 索尼 T90 带票 中关村 数码相机 行情 T77 T90 很多 做出 明显 升级 增加 有效 像素 支持 流行 高清 视频 拍摄...
73,5,娱乐 斯莱特 影后 曝用 洗发水 模拟 获奖 新民 奥斯卡金像奖 颁奖典礼 获悉 斯莱特 摘得 奥斯卡 影后 桂冠 金球奖 双料 影后 斯莱特 读者 The R...
74,3,体育 邓肯 马努 巴蒂尔 挥别 火箭 幸福 西区 季后赛 首轮 孟菲斯 主场 力克 圣安东尼奥 马刺 系列赛 淘汰 马刺 完成 NBA 历史 第四次 黑八 奇迹...
75,4,游戏 拉阔 动作游戏 武神 新鲜出炉 拉阔 动作游戏 武神 新鲜出炉 神秘 侠客 绝世 高手 不败 传说 故事 猎艳 惊魂 奇门遁甲 一统 中原 远古 传说 种...
76,3,体育 绿军 掌门人 淘汰 伤病 后悔 帕金斯 北京 ESPN 波士顿 东区 半决赛 热火 淘汰 宣告 绿衫 复兴 计划 失败 总经理 丹尼 安吉 本赛季 十分 ...
77,1,财经 券商 基金 分仓 佣金 中金 公司 收获 巩万龙 熊市 基金 规模 万亿 缩水 万亿 基金 买卖 股票 形成 交易 佣金 缩水 Wind 统计数据 显示 ...
78,0,科技 具有 光学 变焦 佳能 G11 作者 田源 设计 保留 广受 好评 双层 转盘 曝光 补偿 转盘 具有 直观 操作性 高品位 设计 手动 操作 旋转 液晶...
79,4,科技 全球 首款 AurvanaX Fi 保真 降噪 耳机 上市 创新 推出 世界 首款 X Fi 保真 降噪 耳机 Aurvana X Fi 降噪 环绕 X ...
80,3,体育 马布里 沈阳 欢乐 庆生 获赠 玉马 球迷 马求恩 外号 北京 CBA 联赛 比赛 一天 马布里 佛山 队友 一起 参加 适应性 训练 回到 酒店 熟悉 ...
81,3,体育 老鹰 vs 公牛 两队 阵容 不变 玫瑰 轻伤 上场 北京 半决赛 回合 芝加哥 公牛 主场 迎战 亚特兰大 老鹰 第一 回合 教练 公牛 意外 败给 老...
82,4,游戏 封神 ol 激情 双倍 好消息 尾随 是否 盘算 放松 一下 疲惫 身心 惊喜 封神 ol 玩家 准备 精彩 双倍 活动 激情 狂欢 时刻 全部 服务器 ...
83,4,游戏 棒棒 小凤姐 宇宙 沉默 三百年 三百年 六百年 超过 江苏 卫视 情感 类节目 人间 视频 小凤姐 宇宙 安静 女子 多媒体 极品 大家 节目 遇过 极...
84,5,娱乐 法国电影 享年 娱乐 北京 法国 知名 电影 巴黎 一家 医院 病逝 享年 法国 电台 电视台 重要 时段 新闻节目 播出 法国 制片人 哀悼 法国 一台...
85,3,体育 奥尼尔 热火 复出 鲨鱼 能否 局势 北京 热火 半决赛 开打 第一 回合 球场上 追寻 鲨鱼 沙奎尔 奥尼尔 身影 伴随 摄影 镜头 看到 奥尼尔 身着...
86,3,体育 唐正东 缺阵 山东 江苏 试训 外援 鲁军 苦主 中山 丢掉 百万 奖金 山东 黄金 男篮 遗憾 回到 济南 客场 惨败 广东 宏远 全队 认清 形势 回...
87,0,科技 i 全高清 拍摄 DV 佳能 HF20 套装 作者 李金昊 北京 行情 佳能 HF20 i 全高清 拍摄 性能 数码 摄像机 产品 具有 光学 变焦 能力...
88,0,科技 时尚 家用 卡片机 柯达 C140 单机 作者 李金昊 柯达 C140 出色 识别 多张 人脸 准确 对焦 曝光 机型 C140 内置 多种 情景模式 方...
89,0,科技 格式 全高清 接口 蓝魔 T11TE 上市 作者 毛晓曼 了解 历时 半年 开发 T11TE 发布 瞩目 P 全高清 PMP 产品 魔音 悦汇 T11TE...
90,0,科技 光学 变焦镜头 索尼 WX1 抢先 评测 作者 石筱轲 领域 名词 大家 关注 背照式 传感器 传感器 感光 元件 物理 结构 调整 理论 成像 水准 索...
91,3,体育 公牛 vs 老鹰 IV 榜眼 板凳 内线 炮灰 北京 半决赛 老鹰 公牛 第四场 展开 老鹰 打出 方法 限制 罗斯 双方 公牛 罗斯 基斯 博甘斯 洛尔...
92,5,娱乐 丹尼 新片 贫民窟 百万富翁 早报 张悦 编译 火车 英国 导演 丹尼 博伊尔 好莱坞 成功 选择 印度 重新 新片 贫民窟 百万富翁 视角 深入 孟买 ...
93,0,科技 高清 防抖 卡片机 索尼 T900 套装 作者 李金昊 硬件 配置 搭配 索尼 2.3 英寸 小S uper HAD CCD 传感器 T900 有效 像素...
94,0,科技 光学 变焦镜头 三星 ES60 三星 ES60 机身 设计 时尚 小巧 三围 尺寸 94.1 x62 .7 x25 .2 mm 方便 机身 塑料 磨砂 材...
95,0,科技 4.6 光学 变焦 松下 FP8 套机 松下 FP8 外观 小巧 精致 简洁 金属工艺 处理 兼具 女性 消费 群体 合适 提供 奢华 尊贵 金色 品位 ...
96,5,娱乐 休斯敦 影评人 协会 揭晓 力挫群雄 娱乐 北京 火箭队 主场 休斯敦 影评人 协会 Houston Film Critics Society Award...
97,4,游戏 封神 ol 资料片 免费 上线 封神 决战 资料 首次 大胆 开放 免费 自动 升级 系统 玩家 手动 打怪 轻松 经验 实现 意义 免费 升级 封神 决...
98,0,科技 低价 高清 播放器 HOTT HD360 上市 作者 中关村 毛晓曼 HD360 HOTT 入门 用户 打造 高清 产品 产品 上市 具有 粉红色 两种 ...
99,0,科技 光学 变焦 佳能 SX200 外观 佳能 SX200 红色 蓝色 黑色 三种 颜色 显示屏 英寸 LCD 像素 图像 显示 清晰 外形 尺寸 60.5 3...
100,0,科技 智能 拍摄 卡片 三星 ST50 丰富 配件 观点 三星 ST50 体现 智能 拍摄 理念 自动 智能 识别 场景 信息 拍摄 人像 美容 性能 光学 变...
101,1,财经 索罗斯 排名 第四 综合 美国 机构 投资者 杂志 阿尔法 披露 投资人 赚钱 榜单 显示 对冲 基金 经理人 赚取 亿美元 金融危机 打击 自大 萧条 ...
102,0,科技 潮流 时尚 家用 卡片 DC 佳能 IXUS95IS 作者 飘雪 佳能 IXUS IS 圆滑 棱角 设计 手持 舒适 磨砂 金属工艺 外壳 精致 细腻 柠...
103,4,游戏 微软 手机游戏 植入 木马 盗打 国际 来自 媒体 英国 公司 Sophos Graham Cluley 博客 撰文 指出 Windows Mobile ...
104,3,体育 神迹 雷霆 最大 难题 胖子 北京 主场 力取 雷霆 总比分 扳成 双方 第七场 生死 大战 一节 拿下 全场 贡献 篮板 获胜 最大 功臣 第四节 比赛...
105,0,科技 单机 尼康 清单 D90 低价 中关村 数码相机 行情 尼康 数码 单反相机 D90 像素 成像 能力 具备 高清 动态 视频 摄像 功能 套机 配备 尼...
106,0,科技 超薄 时尚 家用 索尼 W190 配置 索尼 W190 传感器 尺寸 2.3 英寸 有效 像素 Super HAD CCD 索尼 W190 镜头 一枚 光...
107,0,科技 时尚 家用 卡片机 柯达 C140 柯达 C140 银色 机身 众多 时尚 漂亮 卡片机 相比 起来 显得 柯达 C140 搭配 千万级 像素 CCD 有...
108,4,游戏 天域 OL 合区 作战 最新消息 天域 OL 七区 烟雨 狂歌 八区 梦幻 桃源 合并 不用 合区 玩家 汇聚一堂 一场 激烈 PK 顺势 展开 点整 服...
109,5,娱乐 好莱坞 热衷 总统 曼德拉 林肯 人物 传记片 好莱坞 热衷 拍摄 几部 描写 政治 人物 主题 影片 扎堆 美国 现任 总统 小布什 主人公 影片 W ...
110,5,娱乐 法国 历史学家 被判 诽谤 纪录片 达尔文 噩梦 新华网 巴黎 法国 一名 历史学家 两年 指责 纪录片 达尔文 噩梦 被判 诽谤罪 成立 奥地利 导演 ...
111,4,游戏 昆仑 奇侠 移动 至尊 名词解释 中国 移动 至尊 中国 移动 汇集 数十名 手机游戏 专业 玩家 组成 评审团 百款 手机游戏 挑选 五款 精品 组成 ...
112,1,财经 基金 分红 公告 早报讯 孟梅 实习生 包括 媒体 部分 基金 投资者 分红 一事 密集 基金 分红 明显增加 基金 发布 分红 公告 国海 富兰克林 基...
113,4,游戏 手游 启示录 正式版 小锤 妙用 开路 破障 拓道 妙用 胜过 愚公 魄力 简乐 豪华 巨作 启示录 启示录 豪华 制作 角色扮演 游戏 升级 引擎 游戏...
114,3,体育 探花郎 拯救 报销 奇兵 内线 进攻 遏制 外线 能站 出来 鲁迪 O J 梅奥 外线 第一 单打 比赛 下半场 出场 梅奥 不错 第一节 结束 格雷维 ...
115,3,体育 皇帝 更衣室 说唱 表演 大声 北京 波士顿 热火 优势 来到 波士顿 征战 客场 神情 明显 常规赛 两次 改观 热火 更衣室 开放 众多 进去 空间 ...
116,4,游戏 手机 网游 神域 OL 武器 升级 详解 记得 神域 OL 官方 好久 一篇 升级 装备 文章 个人 小弟 算是 神域 玩家 见解 大家 分享 一下 武器...
117,5,娱乐 奥立佛 斯通 委内瑞拉 总统 查维斯 纪录片 娱乐 喜欢 争议 题材 导演 奥立佛 斯通 Oliver Stone 镜头 对准 委内瑞拉 总统 查维斯 H...
118,5,娱乐 克罗斯 生死 朗读 勤练 英语 情爱 场面 不靠 演技 娱乐 生死 朗读 大家 注目 焦点 放在 奥斯卡 影后 斯莱特 斯莱特 德国 年轻 男星 戴维 克...
119,4,游戏 手机 网游 天域 OL 摇摇 惊喜 飞来 一曲 笙歌 如海 千门 灯火 送走 喜庆 热闹 天域 OL 世界 正月十五 准备 一天 花灯 习俗 预示 和和美...
120,5,娱乐 提名 领跑 温哥华 影评人 协会 娱乐 第九届 温哥华 影评人 协会 Vancouver Film Critics Circle Awards 简称 VF...
121,4,游戏 赤壁 OL 三八节 双倍 结婚 生子 阳春 三月 热烈庆祝 两会 胜利 召开 喜庆 日子 迎来 赤壁 OL 第一个 三八 妇女节 活动 女生 主城 活动 ...
122,5,娱乐 西恩 喜剧 活宝 凯瑞 有望 加盟 奥斯卡 影帝 严肃 电影 著称 好莱坞 影星 西恩 潘将 出演 经典 翻拍 喜剧 活宝 活宝 美国 世纪 喜剧 明星 ...
123,1,财经 封闭式 基金 分红 本报讯 吴倩 陈芳 基金安 发布公告 分红 第一 年度 收益分配 封闭式 基金 投资者 盼望已久 封闭式 分红 大幕 拉开 A股 市场...
124,5,娱乐 罗马 影展 闭幕 意大利 阿富汗 影片奖 中新网 中央社 第三届 罗马 国际 影展 颁奖 闭幕 意大利 影片 八一 决议案 阿富汗 影片 鸦片战争 观众 ...
125,1,财经 两市 基指 低开 收跌 封闭式 基金 别冶 市场 下跌 影响 两市 基指 低开 小幅 下跌 基指 1.49 收于 3076.78 基指 1.45 收于 3...
