文档ID,簇编号,原文片段（分词行）
500,1,财经 指数 基金 成立 募近 亿元 全景网 日讯 鹏华 基金 公告 旗下 指数 基金 LOF 成立 募近 亿元 基金 起向 社会 募集 截至 基金 募集 工作 ...
501,1,财经 基金 扎堆 七匹狼 连续 两天 放量 突破 七匹狼 年报 显示 公司 实现 营业 收入 16.53 亿元 增长 88.56 实现 上市公司 股东 净利润 ...
502,3,体育 罗斯 拿下 公牛 力克 老鹰 总比分 北京 公牛 主场 击败 老鹰 系列赛 领先 取得 赛点 罗斯 拿下 助攻 洛尔 卡洛斯 布泽尔 基斯 博甘斯 老鹰 ...
503,0,科技 全高清 怪兽 三星 C10 丰厚 套装 山东 IT 三星 C10 商家 济南 北星 数码 售价 包括 G 三星 原装 摄像机 三脚架 清洁 套装 一套 备...
504,0,科技 光学 变焦镜头 富士 S1500 作者 刘然 强大 变焦 功能 富士 S1500 装备 CCD 位移 光学 防抖 结合 高感光度 能够 画面 抖动 模糊 ...
505,5,娱乐 英国 首映 万美元 票房 纪录 作品 一部 量子 危机 英国伦敦 首映 一天 票房 万美元 大量 预售票 量子 危机 英国 单日 票房 最高 影片 打破 ...
506,0,科技 光学 变焦 富士 A175 富士 A175 外观 沿用 A 经典 设计 机身 塑料 材质 表面 磨砂 工艺 处理 最薄 处为 21.9 mm 体重 不错 ...
507,4,游戏 手机 网游 晶灵 OL 活动 四处 家家 置办 年货 吉祥 福虎 预兆 美好 一年 即将来临 晶灵 龙腾虎跃 活动 上线 甜蜜 之恋 极品 称号 四倍 经...
508,1,财经 华宝 兴业 现金 新增 销售 网点 华宝 兴业 基金 公司 旗下 现金 货币 市场 基金 农业银行 中信银行 全线 上柜 销售 投资者 中信银行 全国 网...
509,5,体育 新华 时评 足坛 克利斯 高悬 新华网 北京 体育 专电 郑道锦 中国 足球 确定 伦敦 巴西 世界杯 目标 标志 中国 国字号 球队 艰难 起航 大众 ...
510,5,娱乐 美国 电影 电视 金球奖 推迟 一周 举行 娱乐 北京 媒体报道 奥斯卡奖 颁奖 调整 包括 金球奖 英国 电影 学院奖 前哨 颁发 变化 金球奖 公布 ...
511,3,体育 公牛 复出 利好 布泽尔 批评 打倒 潘谨勤 公牛队 等待 卡洛斯 布泽 决定 首轮 季后赛 布泽 右脚 脚趾 受伤 能否 半决赛 首场 比赛 疑问 队友...
512,3,体育 热火 主力 冷冻 战绿军 酝酿 北京 热火 主场 击败 费城 总比分 晋级 第二轮 本场 热火 变化 球队 沿用 阵容 中场 调整 两名 主力 放眼 热火...
513,4,游戏 封神 online 钟声 响彻 封神 散财 童子 准时 玩家 发放 吉星高照 礼包 宝石 原石 雕琢 开封 卷轴 众多 宝贝 免费 小时 童子 活动 玩家...
514,5,娱乐 好莱坞 翻拍 甄子丹 促成 交易 娱乐 甄子丹 blog 香港 启播 宣传 谈到 电影 翻拍 好莱坞 版本 一事 甄子丹 坦言 促成 合作 中间人 会否 ...
515,0,科技 超薄 时尚 家用 卡片 DC 索尼 S930 相比 索尼 T 时尚 外观 索尼 S930 外观 突出 89.5 61.0 26.1 mm 机身 尺寸 显得...
516,0,科技 纽曼 XD90 录音笔 到货 GB 售价 作者 中关村 毛晓曼 纽曼 XD90 机身 IMD 表面 装饰 技术 产品 防止 表面 刮花 摩擦 长期保持 颜...
517,0,科技 余元 让利 海信 K320 投影 特价 LED 投影设备 推出 吸引 众多 消费者 目光 商务 展示 产品 说明 公司 培训 学校 教学 朋友 聚会 家庭...
518,5,娱乐 好莱坞 票房 票房 改写 历史纪录 中新社 洛杉矶 一月 四日电 张炜 第一个 新片 公映 北美 电影 市场 取得 票房 改写 历史纪录 喜剧片 马利 蝉...
519,1,财经 QDII 基金 平均 净值 下降 1.32 商报讯 全球股市 回暖 股市 上扬 投资 QDII 基金 QDII 基金 平均 净值 下降 1.32 和讯 基...
520,1,财经 基指 七个 新高 新报讯 任强 基指 连续 第三周 上涨 再创 七个 新高 连续 第二周 大盘 封闭式 基金 全线 上扬 基指 开盘 3182.59 收盘...
521,5,娱乐 丑女 贝蒂 转型 主妇 加盟 影片 美国 悲剧 娱乐 传出 亚美 America Ferrera 梅丽莎 雷欧 Melissa Leo 加入 电影 美国 ...
522,4,科技 英寸 大屏幕 G 处理器 东芝 TG01 手机 评测 第一次 见到 东芝 TG01 巨大 体积 Windows Mobile 6.1 系统 感觉 手机 起...
523,2,体育 NBA 迷局 横扫 留给 湖人 NBA 历史 一支 球队 能够 总比分 落后 实现 翻盘 落后 一方 表面 上留 实现 奇迹 希望 结局 失望 看上去 无...
524,4,游戏 赤壁 OL 攻城战 诸侯 硝烟 赤壁 攻城战 诸侯 硝烟 d 手机 网游 赤壁 OL 新服 三分 开服 火爆场面 游戏 单人 PK 挑战 极限 副本 竞技...
525,4,游戏 iPhone 拿下 美国 掌机 游戏 市场 份额 苹果 iPhone OS 平台 iPhone iPod touch 上市 iPad 明显 掌机 游戏 市...
526,0,科技 光学 变焦镜头 松下 FX65 作者 陈亮 松下 FX65 光学 变焦 镜头 焦距 范围 mm mm 维纳斯 影像 处理 引擎 处理速度 丰富 拍摄 画面...
527,0,科技 佳能 D 套机 中关村 数码相机 行情 佳能 EOS D 像素 成像 能力 DIGIC 图像 处理器 中端 单反相机 出色 画质 良好 机身 性能 市场 ...
528,1,财经 基金 建仓 临近 收官 景顺 长城 仓位 三成 王玉 A股 反弹 搭乘 顺风 算上去 月份 成立 基金 基金 建仓 完毕 建仓 临近 结束 刚成立 抱团 ...
529,2,体育 浪费 生命 一年 相信 队友 夺冠 北京 洛杉矶 湖人 告别 发布会 继续 出席 发布会 湖人 战绩 谈到 达成 目标 原因 是否 疲劳 一段 历程 伟大...
530,4,游戏 乐园 生活 增添 色彩 亲爱 宝贝 乐园 贴心 推出 游戏 平台 交友 功能 备受 广大 玩家 喜爱 是否 尝试 编带 逛逛 v 阳光 沙滩 海浪 乐园 ...
531,0,科技 搭配 镜头 尼康 D90 套装 售价 尼康 D90 D80 机身 设计 左前方 增加 D300 棱型 突起 D80 明显 角状 凹槽 这两项 设计 实际 ...
532,1,财经 核心 动力 股票 基金 获批 申屠 青南 基金 公司 宣布 核心 动力 股票 型基金 中国证监会 批准 发行 基金 代销 基金 托管人 中国银行 代销 机...
533,1,财经 华夏 中邮 核心 接盘 实习生 大力发展 新能源 产业 管理层 讲话 激发 市场 新能源 概念 想象 空间 具有 新能源 概念 安泰 科技 股票 涨幅 不...
534,3,体育 韦德 暴扣 巨头 战斗 助攻 篮板 抢断 盖帽 热火 客场 打出 数据 德维恩 韦德 热火 主力阵容 发挥 坚持 一刻 勇士 主场 作战 战斗 信心 飙升...
535,3,体育 一把 好人 盖帽 卡再 帕胖 复苏 西区 季后赛 第二轮 雷霆 主场 负于 来访 灰熊队 系列赛 落后 雷霆 内线 球员 塞尔吉 伊巴 上场 篮板 两双 ...
536,5,娱乐 点评 行动 目标 希特勒 打分 娱乐 影视 点评 第三次 影片 行动 目标 希特勒 打分 截至 观看 影片 点评 成员 百分制 基础 打出 平均分 73....
537,1,财经 益民 基金 总经理 辞职 宋瑞 代理 总经理 职务 全景网 日讯 益民 基金 公告 公司 总经理 刘义鹏 工作 变动 辞职 宋瑞 代为 履行 公司 总经理...
538,4,游戏 愚人节 宝贝 国度 梦网 不会 开放 新宠 愚人节 迎接 全年 另类 搞笑 宝贝 国度 开启 愚人节 宝箱 活动 开放 玩家 灵狐 印第安 头饰 玩家 能...
539,1,财经 基金 年报 了解 基金 渠道 基金 定期 报告 于基民 来讲 了解 整体 基金 运作 重要 信息 来源 技巧 阅读 基金 定期 报告 慧眼 识出 具有 价...
540,2,体育 湖人 官方 在场 时输 禅师 叫板 首场 比赛 拿到 篮板 打出 数据 拉玛尔 对得起 年度 第六 身份 湖人 输球 不能 苛责 第二场 篮板 罚球 三分...
541,2,体育 禁赛 一场 野兽 无缘 北京 NBA 官网 执行 副总裁 斯图 杰克逊 公布 罗恩 一项 处罚 决定 湖人 前锋 小牛 比赛 击打 对方 后卫 何塞 胡安...
542,1,财经 业绩 榜单 出炉 基金 最大 差距 晨报 李锐 震荡 明显 后果 导致 类型 基金 业绩 分化 明显 结束 基金 榜单 争夺 受益 A股 市场 反弹 基金...
543,0,科技 mm 镜头 佳能 D 套机 点评 佳能 D 位于 入门 用户 数码 单反相机 DIGIC III 影像 处理器 应用 ISO 画质 提升 小巧 机身 优质...
544,5,娱乐 奥斯卡 歌曲 入围 名单 公布 娱乐 北京 入围 奥斯卡奖 歌曲 作品 公布 参评 奥斯卡 歌曲 门槛 满足 歌曲 参赛 影片 具备 奥斯卡 影片奖 评选...
545,0,科技 配备 防抖 镜头 尼康 D5000 送礼 中关村 数码相机 行情 尼康 DX 格式 新款 单反相机 D5000 具备 像素 成像 能力 配备 方便 2.7...
546,4,游戏 手机 网游 文明 活动 佳节 文明 II 全体 玩家 新春 结束 文明 II 激情 活动 结束 文明 II 举办 活动 玩家 共庆 佳节 活动 有效 登陆...
547,0,科技 时尚 超薄 卡片 富士 J26 作者 刘然 富士 J26 模式 结合 脸部 识别 技术 保证 完美 照片 机器 报价 百元 跌幅 性价比 不错 富士 风范...
548,3,体育 艾伦 马布里 辽宁 险胜 佛山 连败 北京 CBA 常规赛 第二十六 继续 辽宁队 主场 击败 佛山 取得 两连胜 全场 比赛 辽宁队 得分 上双 艾伦 ...
549,1,财经 长信 基金 理性 视野 把握 投资 时机 全球 经济 放缓 资产 全线 贬值 严重 打击 投资者 信心 关注 投资 领域 证券市场 牵动 亿万 民众 神经...
550,1,财经 华夏 基金 修改 旗下 部分 开放式 基金 合同条款 全景网 日讯 华夏 基金 公告 公司 决定 旗下 部分 开放式 基金 基金 合同 修改 修改 内容 ...
551,3,体育 德隆 球队 施压 要求 补强 篮网 爵士 吸引力 北京 季后赛 停摆 很多 球员 考虑 去处 本赛季 转会 篮网 德隆 一员 接受 采访 考虑 打球 篮网...
552,4,游戏 千尺 宝典 流量 大片 手机 账单 冥想 电影 大片 接二连三 手机 频繁 下载 流量 飘走 商家 整天 智能手机 取代 电脑 现实 残酷 G 上马 资费...
553,4,游戏 天问 online 财神 烧香 体验 一回 民俗文化 财神爷 民俗 财神 日子 好多 财神庙 第一 柱香 敬香 财神 方式 祈福 祈求 好运 祝福 财运 ...
554,5,娱乐 主演 澳洲 乱世 确定 贺岁 本报讯 杨林 发行 获悉 第一波 分账 大片 出炉 上映 马达加斯加 基德曼 主演 澳洲 乱世 Austrila 登陆 杰森...
555,5,娱乐 组图 权相宇 复出 煽情 告白 新片 恋上 李宝英 问到 出生 孩子 权相宇 孩子 胎名 Lucky 孩子 出生 幸运 名字 权卢克 确定 名字 权相宇 ...
556,5,娱乐 时尚 点评 白色 多元 拼接 时尚 新潮流 娱乐 北京 美国 奥斯卡金像奖 颁奖典礼 洛杉矶 柯达 剧院 举行 北京 众星 盛装 走上 红地毯 红毯 PK...
557,2,体育 小牛 离谱 命中率 吓傻 湖人 热火 绿衫 小牛 客场 赢球 不能 晋级 低着头 走回 休息室 湖人 系列赛 噩梦 湖人 承认 小牛 太强大 洛城 专家 ...
558,5,娱乐 龙珠 神龙 现身 剧照 火力 娱乐 好莱坞 真人版 电影 龙珠 进化 Dragonball Evolution 日本 电视节目 放出 镜头 传开 灵通人士...
559,4,游戏 力作 火爆 上线 PC 单机游戏 呈现 游戏 精彩 亮点 游戏 历时 八个 完美 移植 手机 游戏 讲述 美丽 大陆 完美 作品 大陆 依靠 水晶 能量 ...
560,4,游戏 灵兽 世界 OL 任务 活动 灵兽 世界 任务 活动 全面 上线 想要 大量 经验 想要 装备 材料 解封 奖励 研究 活动 内容 小时 奖励 任务 完成...
561,3,体育 绿军 客队 更衣室 外险 斗殴 不开 北京 热火 绿军 赛场 气氛 火爆 延续 比赛 两个 随队 争抢 位置 打架 比赛 小时 主帅 惯例 客队 更衣室 ...
562,3,体育 主帅 解释 第四节 犯规 梅奥 豪言 六场 解决 战斗 北京 mysanantonio NBA 季后赛 首轮 孟菲斯 客场 不敌 圣安东尼奥 马刺 总比分...
563,4,游戏 d 网游 赤壁 OL 阳春 风景 独好 阳春 掩饰 不住 春色 一场 大雪 阻挡 不了 昂然 春意 呼朋引 春色 美景 不了 d 赤壁 OL 景色 唯美 ...
564,5,娱乐 蝙蝠侠 亲人 认罪 可免 起诉 娱乐 蝙蝠侠 贝尔 酒店 母亲 姐姐 案件 控方 律师 警方 建议 作出 警告 条件 承认 控罪 警方 起诉 袭击 被控 ...
565,3,体育 马刺 获胜 功臣 宣布 参战 欧锦赛 帕克 渴望 搭档 加时赛 比赛 帮助 马刺 获胜 功臣 托尼 帕克 确定 参加 欧锦赛 法国 发动机 开赴 立陶宛 ...
566,0,科技 高清 防抖 卡片机 索尼 T900 促销 丰富 配件 中关村 数码相机 行情 索尼 T900 继承 T 传统 外形 优势 一部 高像素 传感器 HDTV ...
567,5,娱乐 沃斯堡 影评人 协会 贫民 富翁 胜出 娱乐 北京 执着 预测 奥斯卡 奖项 提名 闻名 沃斯堡 影评人 协会 Dallas Fort Worth Fil...
568,5,娱乐 组图 亮相 地球 毁灭 密码 纽约 首映 娱乐 北京 美国 出演 灾难片 地球 毁灭 密码 纽约 举行 首映礼 两位 主演 和鲁思 两位 小演员 Chan...
569,4,游戏 D 赛车手 巨献 狂飙 D 完美版 D 赛车 手机游戏 巨献 狂飙 D 完美版 风格 独特 D 赛车 游戏 游戏 设置 车型 玩家 选择 设置 场景 赛道...
570,0,科技 光学 变焦镜头 三星 WB1000 机型 秉承 三星 蓝调 复古 外观 仪表盘 看起来 全金属 机身 配以 光滑 黑色 涂层 看起来 十分 大气 机身 手...
571,5,娱乐 澳大利亚 纽约 化身 时尚 教母 娱乐 美国 澳大利亚 Australia 纽约 工作室 看片会 基德曼 双双 出席 影片 内容 采访 发言 试映 结束 ...
572,3,体育 兰胖 暴走 决战 一场 北京 主场 击败 雷霆 系列赛 拖入 全场 篮板 封盖 荣膺 展现 出来 统治力 马刺 第六场 一节 华丽 演出 视作 季后赛 封...
573,4,游戏 好玩 玄幻 帝王 动作游戏 轩辕 知名 手机游戏 开发商 北京 掌中 飞天 玄幻类 帝王 传奇 动作游戏 轩辕 隆重 登陆 手机游戏 网站 掌中 飞天 R...
574,5,娱乐 茱莉 金球奖 受访 中新网 金球奖 颁奖典礼 落幕 布拉德 皮特 Brad Pitt 安吉 茱莉 Ange 听歌 lina Jolie 星光 大道 采访 ...
575,1,财经 诺安 基金 信托 利益输送 理财 周报 仇晓慧 私募 人士 爆料 诺安 基金 深国投 合作 结构化 信托 产品 存在 利益输送 嫌疑 深国投 网站 看到 ...
576,4,游戏 豪华 大作 启示录 烙印 系统 详解 启示录 豪华 制作 角色扮演 游戏 升级 引擎 游戏 画面 特效 战斗 设置 辅助 系统 游戏 提高 层次 全屏 特...
577,1,财经 基金 招聘 渠道 投研 人才 证券时报 程俊琳 金鹰 基金 公司 发布 招聘 渠道 投研 部门 力量 扩充 方向 基金 公司 加速 人才 储备 继续 增加...
578,4,游戏 d 赤壁 OL 内容 亲爱 亲们 大家 例行 服务器 d 赤壁 OL 支持 理解 内容 1. 修正 结义 军团 升级 方式 只能 升级 军团 2. 降低 ...
579,4,游戏 神兆 OL 新区 一剑 凌云 富有 神秘 色彩 横版 网游 神兆 OL 经历 半个 版本 优化 强势 开放 一剑 凌云 新区 火热 程度 不亚于 盛夏 海...
580,5,娱乐 档案 日程 导演 制作 计划 娱乐 北京 北美 媒体报道 神秘 美剧 迷失 lost 制作 电影 碟中谍 Mission Impossible III 导...
581,4,游戏 时空 OL 公测 亮点 揭秘 时空 团队 异地 合作 副本 轮回 交叉 时空 任务 核心 玩法 穿越 网游 时空 OL 删档 内测 受到 玩家 火热 追捧...
582,4,游戏 游记 网游 理念 用户 体验 区别 娱乐 方式 进化 网络 技术 发展 网络游戏 新鲜 玩意 绝大多数 生活 一部分 听说 网游 网游 白领 人群 热点 ...
583,0,科技 时尚 卡片机 尼康 S220 套装 尼康 S220 延续 S 纤巧 超薄 机身 设计 铝合金 材质 打造 表面 质地 细腻 不易 沾染 指纹 S220 紫...
584,4,游戏 封神 ol 大手笔 送礼 丰满 中国 富有 特色 传统节日 标志 一年 结束 一年 人们 告别 寒冷 迎接 一零年 新春 即将来临 回馈 玩家 封神 ol...
585,3,体育 深锐 观察 季后赛 平民 球队 难逃 无核 悲剧 面对 球星 当家的 季后赛 对手 平民 球队 步行者 掘金 金四辉 平民 秘诀 面对 尴尬 局面 几位 ...
586,0,科技 千万 像素 入门 DC 三星 ES15 山东 IT 三星 ES15 商家 济南 北星 数码 G 三星 原装 MAH 充电 套装 液晶屏 保护膜 三脚架 售...
587,4,游戏 手机 网游 天问 OL 城市 建议 两周 听说 天问 推出 城市 战争 网游 混迹 多年 玩家 城战 相信 大家 不会 陌生 很多 游戏 内容 内容 刺激...
588,0,科技 完美 征服 索泰 P 高清 HTPC 到货 津门 促销 类型 主板 促销 起始 促销 内容 高清 播放 功能 变得 重要 原生 HDMI 支持 P 高清 ...
589,0,科技 尼克尔 变焦镜头 尼康 S230 套装 作者 宋心杰 尼康 COOLPIX S230 配备 2.3 英寸 有效 像素 CCD 影像 感应器 记录 像素 照...
590,0,科技 拍照 摄影 轻松 上传 JVC MS100AC 套装 促销 中关村 数码相机 行情 JVC GZ MS100 像素 配备 光学 变焦镜头 SDHC SD ...
591,4,游戏 绿色 健康 女儿国 OL VIP 掉落 绿色 健康 女儿国 游戏 体验 升级 革命性 变革 飓风 席卷 女儿国 大陆 火爆 三月 女儿国 开启 征程 天宫...
592,0,科技 MOS 感光 元件 DV 松下 HS200GK 促销 观点 松下 HS200 GB 容量 存储空间 满足 大部分 需求 MOS 感光 元件 设计 保证 色...
593,1,财经 ETF 信息 披露 出错 套利 资金 王艳伟 ETF 开盘 即跌 2.32 标的 指数 0.22 全天 成交额 不到 万元 状况 交易 指数 基金 修正 ...
594,0,科技 专业级 单反相机 佳能 D 套装 降至 北京 行情 mm 变焦 镜头 很多 单反相机 资深 玩家 出色 性价比 变焦 覆盖 能力 众多 初学 摄影 爱好者...
595,3,体育 热火 最帅 先生 牛皮 大圆 不了 连中 没中 三分 跳起 英俊 面庞 表情 无比 坚毅 唏嘘 胡渣 板寸 发型 更添 男人 风采 跳起 便是 坚定 无视...
596,4,游戏 网游 豪侠 宠物 技能 登场 Q 手机 网游 豪侠 精彩 登陆 游戏 价值 元宝 道具 奖励 豪侠 宠物 系统 开放 玩家 精心 培育 爱宠 级别 爱宠 ...
597,5,娱乐 奥斯卡 茱莉 VS 红毯 暗战 奥斯卡 颁奖典礼 瞩目 焦点 安吉丽娜 茱莉 红毯 暗战 美国 媒体报道 男友 梅尔 坦承 一起 出席 颁奖 布莱德 安吉...
598,5,娱乐 萨尔玛 海耶克 加盟 桑德勒 新片 娱乐 北京 媒体报道 萨尔玛 海耶克 Salma Hayek 玛雅 鲁道夫 Maya Rudolph 柯林 Colin...
599,1,财经 泰信 基金 万元 认购 旗下 新品 证券时报 本报讯 获悉 泰信 基金 公司 动用 万元 资金 认购 旗下 发行 产品 泰信 精选 股票 型基金 据悉 泰...
600,0,科技 更酷 iPod nano iPod 大名 时尚 代名词 设计 实在 时尚 诱人 苹果 隆重 发布 iPod nano4 纤薄 设计 乔布斯 提醒 大家 千...
601,5,娱乐 美人图 第二部 预告片 曝光 金敏善 娱乐 韩国 电影 美人图 第二部 预告片 影片 主演 金敏善 预告片 上阵 抓住 观众 目光 美人图 讲述 朝鲜 时...
602,4,游戏 手机游戏 剑侠 媚影 完美 测评 评测 游戏 剑侠 媚影 国产 游戏 格式 JAD JAR 游戏 类别 角色扮演 回合 游戏 K 游戏 语言 中文 提供商...
603,1,财经 股票 基金 全线 上扬 四成 基金 全景网 日讯 开放式 基金 多数 上涨 股票 型基金 全盘 四成 基金 债券 型基金 超过 八成 上扬 上证综指 累计...
604,0,科技 佳能 D 套机 摄影包 中关村 数码相机 行情 佳能 D 像素 成像 能力 数码 单反相机 较高 性价比 市场 明星 产品 D 大量 上市 老将 售价 降...
605,4,游戏 文明 II 新春 大礼包 获奖 名单 文明 II 新春 礼包 疯狂 活动 第二轮 幸运 玩家 新鲜出炉 截止 文明 II 新春 礼包 疯狂 活动 圆满结束...
606,1,财经 基金 狂飙 中邮 13.04 埋伏 地产 有色 理财 周报 代星 股票 基金 排名 愚人节 显得 富有 戏剧性 投资者 沮丧 基金 漂亮 反攻 业绩 垫底...
607,3,体育 雷霆 裁判 第二轮 15.4 生死 改判 or 掘金 手握 优势 雷霆 看上去 扳回 一场 雷霆 凯文 杜兰特 掘金 倒在 KD 掘金 理由 不服 裁判 ...
608,4,游戏 网游 武林 OL 轻松 打造 星级 极品 掌上明珠 经典 武侠 题材 手机 网游 武林 OL 世界 众多 武侠 世界 玩家 属性 超强 装备 武装 全身 ...
609,3,体育 绿军 将帅 直言 波什 未知 因素 KG 我会 重点 照顾 北京 美国 网站 WEEI 对手 詹姆斯 德维恩 韦德 熟悉 接受 采访 热火队 巨头 一位 ...
610,4,游戏 简乐 新作 启示录 制作 访谈 简乐 开篇 豪华 制作 欧风 巨作 启示录 接连 放出 截图 口水 三千尺 画面 场景 精致 细腻 富有 质感 颜色 搭配...
611,1,财经 基金业 亏损 1.5 万亿元 李良 上海 A股 市场 大跌 基金 亏损累累 相投 基金 年报 得出 统计数据 显示 基金业 亏损 1.5 万亿元 型基金 ...
612,3,体育 孩子 变得 成熟 德克 总冠军 戒指 北京 本赛季 季后赛 小牛队 老板 马克 沉寂 小牛 横扫 湖人 少见 没见 发表 高论 颇为 罕见 接受 采访 透...
613,5,娱乐 和西恩 有望 出演 附图 娱乐 北京 北美 媒体报道 和西恩 有望 出演 据说 法拉利 兄弟 Farrelly Brothers 一部 新片 物色 演员 ...
614,0,科技 全能 长焦机 三星 WB550 GB 中关村 数码相机 行情 三星 WB550 一枚 2.3 英寸 有效 像素 CCD 图像 传感器 拍摄 最大 分辨率 ...
615,5,娱乐 三个 家伙 观影 数破 投资 全数 收回 娱乐 金知云 导演 新片 家伙 家伙 上映 突破 观影 盈利 分界线 家伙 家伙 登陆 韩国 银幕 耗资 高达 ...
616,1,财经 基金 收益 首尾 相差 早报 肖莉 波动 A股 市场 基金 季度 收益 最好 基金 收益 最差 基金 差距 超过 有涨 有跌 投资 业绩 基金 经理 压力...
617,5,娱乐 盘点 好莱坞 明星 目标 迪亚兹 新年伊始 制定 一年 目标 关注 寻找 改掉 坏毛病 改变 生活习惯 美国 演艺 明星 目标 告别 烟圈 好莱坞 女星 ...
618,5,娱乐 宫廷 大戏 公爵夫人 上映 层层 发髻 英国 女星 化身 公爵夫人 描写 世纪 宫廷 贵族 古装片 公爵夫人 亮相 银幕 华丽 装扮 养眼 头疼 事情 特...
619,3,体育 直击 新秀 三分 还魂 英雄 康利险 历史 罪人 雷霆 依靠 找到 手感 核心 凯文 杜兰特 裁判 争议 出界 判罚 失误 拿球 发动 反击 康利 出手 ...
620,0,科技 三星 活动 第二期 中奖 确定 手持 电视 三星 活动 第一期 中奖 确定 幸运 三星 CMMB 移动 电视 YP CM3 一台 撰写 测评 机会 YP ...
621,4,游戏 手游 九州 OL 新区 天龙八部 九州 online 资料片 风云 再起 开启 服务器 天龙八部 充满 奇幻 世界 众多 英雄豪杰 开辟 逐鹿 舞台 征战...
622,4,游戏 九州 OL 重奖 犒赏 精益求精 魅力 国产 武侠 玄幻 巨作 九州 online 资料片 风云 再起 深受 玩家 喜爱 关注 百余 玩法 创新 特色 元...
623,0,科技 单反相机 尼康 D5000 套机 D60 升级版 D5000 延续 尼康 传统 机身 设计 包括 机身 按钮 设计 手柄 标志性 红色 机身 整体 外形尺...
624,5,娱乐 放弃 演戏 秘密 筹备 电影 娱乐 出演 角斗士 反角 杰昆 Joaquin Phoenix 外界 宣布 演戏 代表 放弃 电影 事业 可靠消息 拍摄 一...
